22
All Too Well
Babe
Begin Again
Better Man
Come Back...Be Here
Everything Has Changed
Forever Winter
Girl At Home
Holy Ground
I Almost Do
I Bet You Think About Me
I Knew You Were Trouble
Message In A Bottle
Nothing New
Red
Ronan
Run
Sad Beautiful Tragic
Starlight
State of Grace
Stay Stay Stay
The Last Time
The Lucky One
The Moment I Knew
The Very First Night
Treacherous
We Are Never Ever Getting Back Together
Afterglow
Cornelia Street
Cruel Summer
Daylight
Death by a Thousand Cuts
False God
I Forgot That You Existed
I Think He Knows
It’s Nice to Have a Friend
London Boy
Lover
ME!
Miss Americana & The Heartbreak Prince
Paper Rings
Soon You’ll Get Better
The Archer
The Man
You Need To Calm Down
All You Had to Do Was Stay
Bad Blood
Clean
How You Get The Girl
I Know Places
I Wish You Would
New Romantics
Out Of The Woods
Style
Welcome to New York
Wonderland
You Are in Love
Blank Space
Shake It Off
Anti-Hero
Bejeweled
Bigger Than The Whole Sky
Dear Reader
Glitch
High Infidelity
Karma
Labyrinth
Lavender Haze
Maroon
Mastermind
Midnight Rain
Paris
Question...?
Snow On the Beach
Sweet Nothing
The Great War
Vigilante Shit
Would’ve, Could’ve, Should’ve
You’re On Your Own, Kid
A Perfectly Good Heart
A Place In This World
Invisible
Mary’s Song (Oh My My My)
Our Song
Should’ve Said No
Stay Beautiful
Teardrops on My Guitar
The Outside
Tim McGraw
Tied Together with a Smile
Cold as You
I’m Only Me When I’m With You
Beautiful Ghosts
Macavity
Breathe
Bye Bye Baby
Change
Come In With The Rain
Don’t You
Fearless
Fifteen
Forever & Always
Hey Stephen
Jump Then Fall
Love Story
Mr. Perfectly Fine
Superstar
Tell Me Why
That’s When
The Best Day
The Other Side of the Door
The Way I Loved You
Today Was a Fairytale
Untouchable
White Horse
You All Over Me
You Belong With Me
You’re Not Sorry
We Were Happy
Call It What You Want
Dancing with Our Hands Tied
Dress
End Game
Getaway Car
Gorgeous
I Did Something Bad
King Of My Heart
Look What You Made Me Do
New Year’s Day
So It Goes...
This Is Why We Can’t Have Nice Things
Don’t Blame Me
...Ready for It?
Christmases When You Were Mine
Last Christmas
Silent Night
White Christmas
Christmas Must Be Something More
Santa Baby
Gasoline
Highway Don’t Care
Hits Different
I Don’t Wanna Live Forever
I Heart ?
Picture To Burn
Beautiful Eyes
Renegade
Safe & Sound
Sweeter Than Fiction
Wildest Dreams
This Love
Two Is Better Than One
Crazier
Carolina
Christmas Tree Farm
Delicate
Eyes Open
You’re Losing Me
All Of The Girls You Loved Before
august
betty
cardigan
epiphany
exile
hoax
illicit affairs
invisible string
mad woman
mirrorball
my tears ricochet
peace
seven
the 1
the last great american dynasty
this is me trying
Back To December
Better Than Revenge
Castles Crumbling
Dear John
Electric Touch
Enchanted
Foolish One
Haunted
I Can See You
Innocent
Last Kiss
Long Live
Mean
Mine
Never Grow Up
Ours
Sparks Fly
Speak Now
Superman
The Story of Us
Timeless
When Emma Falls in Love
champagne problems
closure
coney island
cowboy like me
dorothea
evermore
gold rush
happiness
ivy
l​ong story short
marjorie
no body, no crime
’tis the damn season
tolerate it
willow
the lakes
Only The Young
r​ight where you left me
it’s time to go
If This Was a Movie
